GEO_ID,STATENAME,NAME,DP1_C0,DP1_C1,DP1_C1A,DP1_C2,DP1_C3,DP1_C3A,DP1_C4,DP1_C5,DP1_C5A,DP1_C6,DP1_C7,DP1_C7A,DP1_C8,DP1_C9,DP1_C9A,DP1_C10,DP1_C11,DP1_C11A,DP1_C12,DP1_C13,DP1_C13A,DP1_C14,DP1_C15,DP1_C15A,DP1_C16,DP1_C17,DP1_C17A,DP1_C18,DP1_C19,DP1_C19A,DP1_C20,DP1_C21,DP1_C21A,DP1_C22,DP1_C23,DP1_C23A,DP1_C24,DP1_C25,DP1_C25A,DP1_C26,DP1_C27,DP1_C27A,DP1_C28,DP1_C29,DP1_C29A,DP1_C30,DP1_C31,DP1_C31A,DP1_C32,DP1_E1,DP1_C33,DP1_C34,DP1_C34A,DP1_C35,DP1_C36,DP1_C36A,DP1_C37,DP1_C38,DP1_C38A,DP1_C39,DP1_C40,DP1_C40A,DP1_C41,DP1_C42,DP1_C42A,DP1_C43,DP1_C44,DP1_C44A,DP1_C45,DP1_C46,DP1_C46A,DP1_C47,DP1_C48,DP1_C48A,DP1_C49,DP1_C50,DP1_C50A,DP1_C51,DP1_C52,DP1_C52A,DP1_C53,DP1_C54,DP1_C54A,DP1_C55,DP1_C56,DP1_C56A,DP1_C57,DP1_C58,DP1_C58A,DP1_C59,DP1_C60,DP1_C60A,DP1_C61,DP1_C62,DP1_C62A,DP1_C63,DP1_C64,DP1_C64A,DP1_C65,DP1_C66,DP1_C66A,DP1_C67,DP1_C68,DP1_C68A,DP1_C69,DP1_C70,DP1_C70A,DP1_C71,DP1_C72,DP1_C72A,DP1_C73,DP1_C74,DP1_C74A,DP1_C75,DP1_C76,DP1_C76A,DP1_C77,DP1_C78,DP1_C78A,DP1_C79,DP1_C80,DP1_C80A,DP1_C81,DP1_C82,DP1_C82A,DP1_C83,DP1_C84,DP1_C84A,DP1_C85,DP1_C86,DP1_C86A,DP1_C87,DP1_C88,DP1_C88A,DP1_C89,DP1_C90,DP1_C90A,DP1_C91,DP1_C92,DP1_C92A,DP1_C93,DP1_C94,DP1_C94A,DP1_C95,DP1_C96,DP1_C96A,DP1_C97,DP1_C98,DP1_C98A,DP1_C99,DP1_C100,DP1_C100A,DP1_C101,DP1_C102,DP1_C102A,DP1_C103,DP1_C104,DP1_C104A,DP1_C105,DP1_C106,DP1_C106A,DP1_C107,DP1_C108,DP1_C108A,DP1_C109,DP1_C110,DP1_C110A,DP1_C111,DP1_C112,DP1_C112A,DP1_C113,DP1_C114,DP1_C114A,DP1_C115,DP1_C116,DP1_C116A,DP1_C117,DP1_C118,DP1_C118A,DP1_C119,DP1_C120,DP1_C120A,DP1_C121,DP1_C122,DP1_C122A,DP1_C123,DP1_C124,DP1_C124A,DP1_C125,DP1_C126,DP1_C126A,DP1_C127,DP1_C128,DP1_C128A,DP1_C129,DP1_C130,DP1_C130A,DP1_C131,DP1_C132,DP1_C132A,DP1_C133,DP1_C134,DP1_C134A,DP1_C135,DP1_C136,DP1_C136A,DP1_C137,DP1_C138,DP1_C138A,DP1_C139,DP1_C140,DP1_C140A,DP1_C141,DP1_C142,DP1_C142A,DP1_C143,DP1_C144,DP1_C144A,DP1_C145,DP1_C146,DP1_C146A,DP1_C147,DP1_C148,DP1_C148A,DP1_C149,DP1_C150,DP1_C150A,DP1_C151,DP1_C152,DP1_C152A,DP1_C153,DP1_C154,DP1_C154A,DP1_C155,DP1_C156,DP1_C156A,DP1_C157,DP1_C158,DP1_C158A,DP1_C159,DP1_C160,DP1_C160A,DP1_C161,DP1_C162,DP1_C162A,DP1_C163,DP1_C164,DP1_C164A,DP1_C165,DP1_E2,DP1_C166,DP1_E3,DP1_C167,DP1_C168,DP1_C168A,DP1_C169,DP1_C170,DP1_C170A,DP1_C171,DP1_C172,DP1_C172A,DP1_C173,DP1_C174,DP1_C174A,DP1_C175,DP1_C175A,DP1_E4,DP1_C176,DP1_C176A,DP1_E5,DP1_C177,DP1_C178,DP1_C178A,DP1_C179,DP1_C180,DP1_C180A,DP1_C181,DP1_C182,DP1_C182A,DP1_C183,DP1_E6,DP1_C184,DP1_E7
5001000US0101,Alabama,"Congressional District 1 (110th Congress), Alabama",635300,100,null,306620,48.3,null,328680,51.7,null,44487,7,null,47766,7.5,null,48163,7.6,null,47183,7.4,null,40743,6.4,null,82555,13,null,97497,15.3,null,84676,13.3,null,32506,5.1,null,27248,4.3,null,45326,7.1,null,28019,4.4,null,9131,1.4,null,35.7,(X),465971,73.3,null,220003,34.6,null,245968,38.7,null,439266,69.1,null,98360,15.5,null,82476,13,null,34035,5.4,null,48441,7.6,null,628823,99,null,434959,68.5,null,178574,28.1,null,6204,1,null,6364,1,null,863,0.1,null,710,0.1,null,435,0.1,null,216,0,null,269,0,null,2389,0.4,null,1482,0.2,null,156,0,null,47,0,null,44,0,null,22,0,null,43,0,null,2566,0.4,null,6477,1,null,440353,69.3,null,180474,28.4,null,9423,1.5,null,7568,1.2,null,401,0.1,null,3991,0.6,null,635300,100,null,8152,1.3,null,3509,0.6,null,722,0.1,null,500,0.1,null,3421,0.5,null,627148,98.7,null,430641,67.8,null,635300,100,null,621456,97.8,null,241376,38,null,126595,19.9,null,195195,30.7,null,147858,23.3,null,37459,5.9,null,18494,2.9,null,20831,3.3,null,9010,1.4,null,13844,2.2,null,7947,1.3,null,5897,0.9,null,241376,100,null,172943,71.6,null,81412,33.7,null,126595,52.4,null,55414,23,null,37461,15.5,null,21801,9,null,68433,28.4,null,59175,24.5,null,22491,9.3,null,91756,38,null,59349,24.6,null,2.57,(X),3.08,(X),281691,100,null,241376,85.7,null,40315,14.3,null,15071,5.4,null,2,null,(X),13,null,(X),241376,100,null,176332,73.1,null,65044,26.9,null,2.63,(X),2.41,(X)
5001000US0102,Alabama,"Congressional District 2 (110th Congress), Alabama",635300,100,null,308305,48.5,null,326995,51.5,null,42135,6.6,null,45367,7.1,null,46806,7.4,null,46145,7.3,null,43293,6.8,null,86835,13.7,null,97381,15.3,null,84096,13.2,null,31880,5,null,27067,4.3,null,44987,7.1,null,28798,4.5,null,10510,1.7,null,35.7,(X),472897,74.4,null,224970,35.4,null,247927,39,null,445431,70.1,null,100323,15.8,null,84295,13.3,null,33352,5.2,null,50943,8,null,628662,99,null,430403,67.7,null,188114,29.6,null,2814,0.4,null,3854,0.6,null,561,0.1,null,511,0.1,null,474,0.1,null,361,0.1,null,764,0.1,null,435,0.1,null,748,0.1,null,246,0,null,97,0,null,60,0,null,36,0,null,53,0,null,3231,0.5,null,6638,1,null,435781,68.6,null,190354,30,null,5863,0.9,null,5426,0.9,null,541,0.1,null,4459,0.7,null,635300,100,null,9786,1.5,null,4438,0.7,null,1527,0.2,null,336,0.1,null,3485,0.5,null,625514,98.5,null,425465,67,null,635300,100,null,611820,96.3,null,246607,38.8,null,126429,19.9,null,186023,29.3,null,143499,22.6,null,33178,5.2,null,16187,2.5,null,19583,3.1,null,8719,1.4,null,23480,3.7,null,15845,2.5,null,7635,1.2,null,246607,100,null,172464,69.9,null,81275,33,null,126429,51.3,null,54536,22.1,null,37011,15,null,22302,9,null,74143,30.1,null,65453,26.5,null,25622,10.4,null,90342,36.6,null,61170,24.8,null,2.48,(X),3,(X),281290,100,null,246607,87.7,null,34683,12.3,null,5234,1.9,null,2.3,null,(X),12.6,null,(X),246607,100,null,176720,71.7,null,69887,28.3,null,2.53,(X),2.37,(X)
5001000US0103,Alabama,"Congressional District 3 (110th Congress), Alabama",635300,100,null,305852,48.1,null,329448,51.9,null,40841,6.4,null,44217,7,null,44661,7,null,50575,8,null,53426,8.4,null,84285,13.3,null,92851,14.6,null,84133,13.2,null,31871,5,null,26746,4.2,null,44907,7.1,null,27257,4.3,null,9530,1.5,null,35,(X),478737,75.4,null,225984,35.6,null,252753,39.8,null,442346,69.6,null,97434,15.3,null,81694,12.9,null,32019,5,null,49675,7.8,null,630093,99.2,null,416265,65.5,null,205607,32.4,null,1689,0.3,null,3902,0.6,null,816,0.1,null,927,0.1,null,366,0.1,null,235,0,null,653,0.1,null,260,0,null,645,0.1,null,193,0,null,34,0,null,80,0,null,50,0,null,29,0,null,2437,0.4,null,5207,0.8,null,420492,66.2,null,207567,32.7,null,3986,0.6,null,4993,0.8,null,494,0.1,null,3485,0.5,null,635300,100,null,7533,1.2,null,3560,0.6,null,1117,0.2,null,298,0,null,2558,0.4,null,627767,98.8,null,412398,64.9,null,635300,100,null,613939,96.6,null,248618,39.1,null,121660,19.2,null,179684,28.3,null,134474,21.2,null,38021,6,null,18552,2.9,null,25956,4.1,null,9254,1.5,null,21361,3.4,null,10485,1.7,null,10876,1.7,null,248618,100,null,169041,68,null,76485,30.8,null,121660,48.9,null,50798,20.4,null,37725,15.2,null,21238,8.5,null,79577,32,null,67034,27,null,24263,9.8,null,87155,35.1,null,59201,23.8,null,2.47,(X),3.01,(X),286010,100,null,248618,86.9,null,37392,13.1,null,8635,3,null,2.1,null,(X),12.5,null,(X),248618,100,null,176499,71,null,72119,29,null,2.54,(X),2.29,(X)
5001000US0104,Alabama,"Congressional District 4 (110th Congress), Alabama",635300,100,null,310279,48.8,null,325021,51.2,null,40985,6.5,null,42916,6.8,null,43443,6.8,null,43253,6.8,null,37919,6,null,84993,13.4,null,95309,15,null,87169,13.7,null,35705,5.6,null,31137,4.9,null,51025,8,null,31021,4.9,null,10425,1.6,null,37.6,(X),481278,75.8,null,230927,36.3,null,250351,39.4,null,456597,71.9,null,110763,17.4,null,92471,14.6,null,37354,5.9,null,55117,8.7,null,628950,99,null,582353,91.7,null,32768,5.2,null,2800,0.4,null,1418,0.2,null,313,0,null,220,0,null,263,0,null,131,0,null,213,0,null,128,0,null,150,0,null,217,0,null,35,0,null,121,0,null,28,0,null,33,0,null,9394,1.5,null,6350,1,null,588221,92.6,null,33779,5.3,null,6409,1,null,2095,0.3,null,426,0.1,null,11019,1.7,null,635300,100,null,19201,3,null,13634,2.1,null,568,0.1,null,196,0,null,4803,0.8,null,616099,97,null,574084,90.4,null,635300,100,null,626000,98.5,null,251477,39.6,null,148359,23.4,null,179795,28.3,null,138112,21.7,null,29257,4.6,null,12699,2,null,17112,2.7,null,7451,1.2,null,9300,1.5,null,7175,1.1,null,2125,0.3,null,251477,100,null,183533,73,null,80186,31.9,null,148359,59,null,61457,24.4,null,26007,10.3,null,14187,5.6,null,67944,27,null,61312,24.4,null,27793,11.1,null,88513,35.2,null,66146,26.3,null,2.49,(X),2.95,(X),282766,100,null,251477,88.9,null,31289,11.1,null,5452,1.9,null,1.9,null,(X),11.9,null,(X),251477,100,null,196344,78.1,null,55133,21.9,null,2.53,(X),2.35,(X)
5001000US0105,Alabama,"Congressional District 5 (110th Congress), Alabama",635300,100,null,309694,48.7,null,325606,51.3,null,41451,6.5,null,44864,7.1,null,45366,7.1,null,44357,7,null,40175,6.3,null,87387,13.8,null,105272,16.6,null,86588,13.6,null,33388,5.3,null,28418,4.5,null,44400,7,null,25701,4,null,7933,1.2,null,36.3,(X),477125,75.1,null,228644,36,null,248481,39.1,null,450702,70.9,null,94594,14.9,null,78034,12.3,null,31977,5,null,46057,7.2,null,625299,98.4,null,500481,78.8,null,107765,17,null,6056,1,null,6335,1,null,1792,0.3,null,1308,0.2,null,487,0.1,null,486,0.1,null,1134,0.2,null,499,0.1,null,629,0.1,null,288,0,null,76,0,null,145,0,null,22,0,null,45,0,null,4374,0.7,null,10001,1.6,null,509209,80.2,null,110348,17.4,null,11826,1.9,null,7852,1.2,null,574,0.1,null,5948,0.9,null,635300,100,null,12549,2,null,7724,1.2,null,1230,0.2,null,345,0.1,null,3250,0.5,null,622751,98,null,493696,77.7,null,635300,100,null,621103,97.8,null,252819,39.8,null,139621,22,null,183991,29,null,143780,22.6,null,26301,4.1,null,11777,1.9,null,18371,2.9,null,7832,1.2,null,14197,2.2,null,7584,1.2,null,6613,1,null,252819,100,null,177497,70.2,null,82317,32.6,null,139621,55.2,null,60806,24.1,null,29335,11.6,null,17260,6.8,null,75322,29.8,null,66383,26.3,null,23086,9.1,null,89834,35.5,null,56386,22.3,null,2.46,(X),2.97,(X),278684,100,null,252819,90.7,null,25865,9.3,null,3123,1.1,null,2.1,null,(X),12,null,(X),252819,100,null,183269,72.5,null,69550,27.5,null,2.55,(X),2.21,(X)
5001000US0106,Alabama,"Congressional District 6 (110th Congress), Alabama",635300,100,null,310240,48.8,null,325060,51.2,null,41352,6.5,null,43273,6.8,null,44813,7.1,null,41260,6.5,null,38497,6.1,null,92508,14.6,null,105177,16.6,null,92099,14.5,null,32826,5.2,null,25400,4,null,42770,6.7,null,26399,4.2,null,8926,1.4,null,36.5,(X),479803,75.5,null,229965,36.2,null,249838,39.3,null,457189,72,null,92525,14.6,null,78095,12.3,null,31623,5,null,46472,7.3,null,630434,99.2,null,569659,89.7,null,49195,7.7,null,1739,0.3,null,5807,0.9,null,1696,0.3,null,1443,0.2,null,422,0.1,null,292,0,null,766,0.1,null,586,0.1,null,602,0.1,null,129,0,null,23,0,null,51,0,null,25,0,null,30,0,null,3905,0.6,null,4866,0.8,null,574031,90.4,null,50121,7.9,null,4051,0.6,null,6918,1.1,null,261,0,null,5020,0.8,null,635300,100,null,10383,1.6,null,6790,1.1,null,586,0.1,null,413,0.1,null,2594,0.4,null,624917,98.4,null,563834,88.8,null,635300,100,null,623516,98.1,null,249318,39.2,null,148527,23.4,null,182402,28.7,null,143864,22.6,null,24565,3.9,null,9476,1.5,null,18704,2.9,null,6685,1.1,null,11784,1.9,null,7846,1.2,null,3938,0.6,null,249318,100,null,177995,71.4,null,82522,33.1,null,148527,59.6,null,67226,27,null,22457,9,null,12044,4.8,null,71323,28.6,null,61412,24.6,null,20885,8.4,null,88649,35.6,null,54815,22,null,2.5,(X),3,(X),271212,100,null,249318,91.9,null,21894,8.1,null,4711,1.7,null,1.7,null,(X),10,null,(X),249318,100,null,194576,78,null,54742,22,null,2.61,(X),2.1,(X)
5001000US0107,Alabama,"Congressional District 7 (110th Congress), Alabama",635300,100,null,295514,46.5,null,339786,53.5,null,44741,7,null,46942,7.4,null,47000,7.4,null,51807,8.2,null,52812,8.3,null,84452,13.3,null,92025,14.5,null,81448,12.8,null,27274,4.3,null,24066,3.8,null,43333,6.8,null,28554,4.5,null,10846,1.7,null,33.7,(X),467867,73.6,null,210358,33.1,null,257509,40.5,null,432786,68.1,null,96915,15.3,null,82733,13,null,31126,4.9,null,51607,8.1,null,630660,99.3,null,228688,36,null,393907,62,null,1128,0.2,null,3666,0.6,null,859,0.1,null,1218,0.2,null,280,0,null,245,0,null,317,0,null,331,0.1,null,416,0.1,null,180,0,null,47,0,null,76,0,null,26,0,null,31,0,null,3091,0.5,null,4640,0.7,null,231866,36.5,null,396355,62.4,null,2891,0.5,null,4606,0.7,null,472,0.1,null,4279,0.7,null,635300,100,null,8226,1.3,null,4867,0.8,null,572,0.1,null,266,0,null,2521,0.4,null,627074,98.7,null,225701,35.5,null,635300,100,null,614546,96.7,null,246865,38.9,null,95725,15.1,null,195415,30.8,null,138212,21.8,null,51682,8.1,null,25938,4.1,null,24859,3.9,null,9586,1.5,null,20754,3.3,null,8481,1.3,null,12273,1.9,null,246865,100,null,162495,65.8,null,77261,31.3,null,95725,38.8,null,40948,16.6,null,56470,22.9,null,32225,13.1,null,84370,34.2,null,73129,29.6,null,25598,10.4,null,90608,36.7,null,61541,24.9,null,2.49,(X),3.11,(X),282058,100,null,246865,87.5,null,35193,12.5,null,4979,1.8,null,2,null,(X),10.6,null,(X),246865,100,null,154965,62.8,null,91900,37.2,null,2.59,(X),2.33,(X)
5001000US0200,Alaska,"Congressional District (at Large) (110th Congress), Alaska",626932,100,null,324112,51.7,null,302820,48.3,null,47591,7.6,null,53771,8.6,null,56661,9,null,50094,8,null,39892,6.4,null,89473,14.3,null,114049,18.2,null,94952,15.1,null,27423,4.4,null,17327,2.8,null,22507,3.6,null,10558,1.7,null,2634,0.4,null,32.4,(X),436215,69.6,null,226111,36.1,null,210104,33.5,null,410474,65.5,null,45300,7.2,null,35699,5.7,null,16724,2.7,null,18975,3,null,592786,94.6,null,434534,69.3,null,21787,3.5,null,98043,15.6,null,25116,4,null,723,0.1,null,1464,0.2,null,12712,2,null,1414,0.2,null,4573,0.7,null,814,0.1,null,3416,0.5,null,3309,0.5,null,695,0.1,null,227,0,null,1670,0.3,null,717,0.1,null,9997,1.6,null,34146,5.4,null,463999,74,null,27147,4.3,null,119241,19,null,32686,5.2,null,5515,0.9,null,15151,2.4,null,626932,100,null,25852,4.1,null,13334,2.1,null,2649,0.4,null,553,0.1,null,9316,1.5,null,601080,95.9,null,423788,67.6,null,626932,100,null,607583,96.9,null,221600,35.3,null,116318,18.6,null,206127,32.9,null,174113,27.8,null,24481,3.9,null,10808,1.7,null,39057,6.2,null,16568,2.6,null,19349,3.1,null,4824,0.8,null,14525,2.3,null,221600,100,null,152337,68.7,null,88484,39.9,null,116318,52.5,null,63245,28.5,null,23937,10.8,null,17243,7.8,null,69263,31.3,null,52060,23.5,null,8985,4.1,null,95129,42.9,null,26349,11.9,null,2.74,(X),3.28,(X),260978,100,null,221600,84.9,null,39378,15.1,null,21474,8.2,null,1.9,null,(X),7.8,null,(X),221600,100,null,138509,62.5,null,83091,37.5,null,2.89,(X),2.49,(X)
5001000US0401,Arizona,"Congressional District 1 (110th Congress), Arizona",641329,100,null,325515,50.8,null,315814,49.2,null,44745,7,null,50084,7.8,null,53966,8.4,null,51215,8,null,42419,6.6,null,75619,11.8,null,90601,14.1,null,82405,12.8,null,32743,5.1,null,29555,4.6,null,50880,7.9,null,29056,4.5,null,8041,1.3,null,35.3,(X),460774,71.8,null,232838,36.3,null,227936,35.5,null,431589,67.3,null,105448,16.4,null,87977,13.7,null,40975,6.4,null,47002,7.3,null,627265,97.8,null,422146,65.8,null,8256,1.3,null,144688,22.6,null,3339,0.5,null,725,0.1,null,739,0.1,null,654,0.1,null,411,0.1,null,323,0.1,null,161,0,null,326,0.1,null,464,0.1,null,166,0,null,103,0,null,69,0,null,126,0,null,48372,7.5,null,14064,2.2,null,434146,67.7,null,9870,1.5,null,150902,23.5,null,4895,0.8,null,1053,0.2,null,55206,8.6,null,641329,100,null,105346,16.4,null,83022,12.9,null,851,0.1,null,292,0,null,21181,3.3,null,535983,83.6,null,374790,58.4,null,641329,100,null,612445,95.5,null,223831,34.9,null,120646,18.8,null,194071,30.3,null,153154,23.9,null,41777,6.5,null,22669,3.5,null,32120,5,null,13313,2.1,null,28884,4.5,null,22629,3.5,null,6255,1,null,223831,100,null,158207,70.7,null,72568,32.4,null,120646,53.9,null,49808,22.3,null,27314,12.2,null,16673,7.4,null,65624,29.3,null,52108,23.3,null,20512,9.2,null,82608,36.9,null,61529,27.5,null,2.74,(X),3.25,(X),293918,100,null,223831,76.2,null,70087,23.8,null,43326,14.7,null,2.7,null,(X),9.8,null,(X),223831,100,null,160054,71.5,null,63777,28.5,null,2.74,(X),2.73,(X)
5001000US0402,Arizona,"Congressional District 2 (110th Congress), Arizona",641329,100,null,313683,48.9,null,327646,51.1,null,40887,6.4,null,43918,6.8,null,43968,6.9,null,39237,6.1,null,31869,5,null,76244,11.9,null,89993,14,null,76393,11.9,null,34099,5.3,null,33311,5.2,null,67603,10.5,null,48782,7.6,null,15025,2.3,null,39.9,(X),487719,76,null,234615,36.6,null,253104,39.5,null,466917,72.8,null,151404,23.6,null,131410,20.5,null,59038,9.2,null,72372,11.3,null,626629,97.7,null,548177,85.5,null,14158,2.2,null,14411,2.2,null,10971,1.7,null,1318,0.2,null,2265,0.4,null,2449,0.4,null,1027,0.2,null,1331,0.2,null,1340,0.2,null,1241,0.2,null,670,0.1,null,263,0,null,132,0,null,136,0,null,139,0,null,38242,6,null,14700,2.3,null,561151,87.5,null,16699,2.6,null,18222,2.8,null,14247,2.2,null,1515,0.2,null,45118,7,null,641329,100,null,91377,14.2,null,71321,11.1,null,2145,0.3,null,456,0.1,null,17455,2.7,null,549952,85.8,null,502484,78.4,null,641329,100,null,630307,98.3,null,249882,39,null,146972,22.9,null,171239,26.7,null,137062,21.4,null,31273,4.9,null,12519,2,null,30941,4.8,null,12981,2,null,11022,1.7,null,7852,1.2,null,3170,0.5,null,249882,100,null,178022,71.2,null,70741,28.3,null,146972,58.8,null,52607,21.1,null,21319,8.5,null,12617,5,null,71860,28.8,null,58320,23.3,null,30807,12.3,null,77894,31.2,null,88611,35.5,null,2.52,(X),2.96,(X),287665,100,null,249882,86.9,null,37783,13.1,null,18776,6.5,null,2.4,null,(X),9.5,null,(X),249882,100,null,198100,79.3,null,51782,20.7,null,2.52,(X),2.52,(X)
