GEO_ID,STATENAME,DISTRICT,NAME,P001001,P001001ERR,P001002,P001003,P001004,P001005,P001006,P001007,P001008,P001009,P001010,P001011,P001012,P001013,P001014,P001015,P001016,P001017,P001018,P001019,P001020,P001021,P001022,P001023,P001024,P001025,P001026,P001027,P001028,P001029,P001030,P001031,P001032,P001033,P001034,P001035,P001036,P001037,P001038,P001039,P001040,P001041,P001042,P001043,P001044,P001045,P001046,P001047,P001048,P001049,P001050,P001051,P001052,P001053,P001054,P001055,P001056,P001057,P001058,P001059,P001060,P001061,P001062,P001063,P001064,P001065,P001066,P001067,P001068,P001069,P001070,P001071
5001100US0101,Alabama,1,"Congressional District 1 (111th Congress), Alabama",687841,null,677877,461846,190641,7919,9129,326,8016,9964,9337,2594,3105,1210,120,813,628,240,48,220,51,11,80,60,123,34,587,304,33,7,29,47,2,26,49,25,4,13,2,21,15,4,5,1,0,0,0,34,8,1,7,3,0,1,5,2,1,0,4,0,0,2,0,6,6,0,0,0,0,0,0,0
5001100US0102,Alabama,2,"Congressional District 2 (111th Congress), Alabama",673877,null,663091,434236,208369,3300,5907,496,10783,10786,10054,3248,2872,1405,114,843,619,316,89,250,39,8,48,78,72,53,676,324,67,20,41,51,9,27,53,21,3,15,7,11,16,6,1,1,0,1,2,40,17,2,3,5,1,0,7,0,0,3,0,1,1,0,0,15,15,0,0,0,0,0,1,1
5001100US0103,Alabama,3,"Congressional District 3 (111th Congress), Alabama",681298,null,671574,433743,216886,2315,9047,457,9126,9724,9071,3072,2387,1230,176,775,529,296,87,268,32,14,27,67,89,22,593,265,57,15,43,40,10,17,51,19,8,14,5,3,29,8,5,2,0,2,0,56,24,5,8,5,0,0,7,4,0,1,1,0,0,1,0,3,2,0,0,0,0,1,1,1
5001100US0104,Alabama,4,"Congressional District 4 (111th Congress), Alabama",660162,null,650355,583895,33172,4208,2459,582,26039,9807,9483,2284,4588,666,148,1220,118,38,12,97,29,17,82,29,56,99,292,113,18,3,21,42,6,35,21,5,3,2,0,0,1,6,0,2,7,7,0,17,4,0,2,0,0,0,4,0,0,0,0,0,0,7,0,14,12,1,0,1,0,0,1,1
5001100US0105,Alabama,5,"Congressional District 5 (111th Congress), Alabama",718724,null,702551,539582,127550,6893,10837,610,17079,16173,15246,4223,5814,2100,155,1208,594,322,66,344,65,21,67,60,157,50,855,405,83,12,76,76,8,32,59,28,9,27,5,9,2,8,9,4,0,1,2,64,25,7,6,3,2,5,10,0,0,4,0,1,1,0,0,8,8,0,0,0,0,0,0,0
5001100US0106,Alabama,6,"Congressional District 6 (111th Congress), Alabama",754482,null,745248,619105,95610,2249,12064,348,15872,9234,8740,2446,2357,1669,108,1145,289,145,32,195,38,3,54,37,186,36,452,235,47,2,35,40,2,5,48,11,7,5,0,0,1,3,0,0,5,1,5,26,6,7,2,3,5,0,3,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0
5001100US0107,Alabama,7,"Congressional District 7 (111th Congress), Alabama",603352,null,597789,202987,379083,1334,4152,238,9995,5563,5108,1799,830,555,43,520,576,275,97,217,19,8,40,18,55,56,413,204,43,5,36,26,1,16,13,17,4,8,3,1,19,8,2,0,3,0,4,37,20,2,7,5,0,0,0,0,0,1,1,0,0,1,0,5,2,3,0,0,0,0,0,0
5001100US0200,Alaska,1,"Congressional District (at Large) (111th Congress), Alaska",710231,null,658356,473576,23263,104871,38135,7409,11102,51875,47286,4685,26127,6915,1095,2211,1777,530,213,409,1200,431,429,782,368,114,4181,1415,252,85,68,1103,177,233,529,67,13,50,17,47,30,5,3,60,14,3,10,361,153,21,33,24,13,1,79,14,1,12,5,4,0,0,1,47,39,8,0,0,0,0,0,0
5001100US0401,Arizona,1,"Congressional District 1 (111th Congress), Arizona",774310,null,752118,520102,12886,154104,7204,1712,56110,22192,20935,2143,7131,2043,385,5916,1032,91,25,342,220,147,947,180,246,87,1157,369,64,4,80,79,20,212,189,51,10,9,1,25,2,5,0,12,12,7,6,85,31,0,21,11,0,0,9,2,2,9,0,0,0,0,0,14,10,3,0,0,1,0,1,1
5001100US0402,Arizona,2,"Congressional District 2 (111th Congress), Arizona",972839,null,941229,773390,36404,19818,25447,1649,84521,31610,29285,5794,5175,5540,697,8189,580,549,91,745,137,72,524,371,662,159,2088,579,213,46,186,171,33,144,341,175,24,25,10,34,28,22,8,11,16,1,21,196,63,12,23,15,17,9,33,7,4,9,1,3,0,0,0,40,27,10,0,1,1,1,1,1
