GEO_ID,STATENAME,P1_001N,P1_001NA,P1_002N,P1_002NA,P1_003N,P1_003NA,P1_004N,P1_004NA,P1_005N,P1_005NA,P1_006N,P1_006NA,P1_007N,P1_007NA,P1_008N,P1_008NA,P1_009N,P1_009NA,P1_010N,P1_010NA,P1_011N,P1_011NA,P1_012N,P1_012NA,P1_013N,P1_013NA,P1_014N,P1_014NA,P1_015N,P1_015NA,P1_016N,P1_016NA,P1_017N,P1_017NA,P1_018N,P1_018NA,P1_019N,P1_019NA,P1_020N,P1_020NA,P1_021N,P1_021NA,P1_022N,P1_022NA,P1_023N,P1_023NA,P1_024N,P1_024NA,P1_025N,P1_025NA,P1_026N,P1_026NA,P1_027N,P1_027NA,P1_028N,P1_028NA,P1_029N,P1_029NA,P1_030N,P1_030NA,P1_031N,P1_031NA,P1_032N,P1_032NA,P1_033N,P1_033NA,P1_034N,P1_034NA,P1_035N,P1_035NA,P1_036N,P1_036NA,P1_037N,P1_037NA,P1_038N,P1_038NA,P1_039N,P1_039NA,P1_040N,P1_040NA,P1_041N,P1_041NA,P1_042N,P1_042NA,P1_043N,P1_043NA,P1_044N,P1_044NA,P1_045N,P1_045NA,P1_046N,P1_046NA,P1_047N,P1_047NA,P1_048N,P1_048NA,P1_049N,P1_049NA,P1_050N,P1_050NA,P1_051N,P1_051NA,P1_052N,P1_052NA,P1_053N,P1_053NA,P1_054N,P1_054NA,P1_055N,P1_055NA,P1_056N,P1_056NA,P1_057N,P1_057NA,P1_058N,P1_058NA,P1_059N,P1_059NA,P1_060N,P1_060NA,P1_061N,P1_061NA,P1_062N,P1_062NA,P1_063N,P1_063NA,P1_064N,P1_064NA,P1_065N,P1_065NA,P1_066N,P1_066NA,P1_067N,P1_067NA,P1_068N,P1_068NA,P1_069N,P1_069NA,P1_070N,P1_070NA,P1_071N,P1_071NA
0400000US01,Alabama,5024279,null,4767326,null,3220452,null,1296162,null,33625,null,76660,null,2984,null,137443,null,256953,null,243473,null,45429,null,79559,null,18510,null,1449,null,80617,null,6301,null,2049,null,492,null,5421,null,266,null,77,null,1941,null,567,null,562,null,233,null,12093,null,4493,null,972,null,172,null,1441,null,912,null,138,null,2194,null,681,null,429,null,78,null,124,null,13,null,146,null,145,null,86,null,27,null,12,null,6,null,7,null,17,null,1191,null,304,null,64,null,516,null,80,null,47,null,4,null,35,null,48,null,7,null,25,null,31,null,7,null,4,null,15,null,4,null,187,null,89,null,78,null,13,null,0,null,5,null,2,null,9,null,9,null
0400000US02,Alaska,733391,null,643867,null,435392,null,21898,null,111575,null,44032,null,12698,null,18272,null,89524,null,81221,null,5987,null,38129,null,9815,null,1599,null,17735,null,2039,null,547,null,319,null,948,null,1215,null,607,null,622,null,1349,null,255,null,55,null,7371,null,1988,null,402,null,121,null,361,null,1795,null,344,null,878,null,837,null,204,null,31,null,80,null,31,null,41,null,58,null,21,null,15,null,90,null,28,null,15,null,31,null,822,null,206,null,47,null,160,null,47,null,17,null,13,null,217,null,49,null,7,null,36,null,4,null,3,null,0,null,5,null,11,null,97,null,44,null,29,null,4,null,4,null,14,null,2,null,13,null,13,null
0400000US04,Arizona,7151502,null,6154696,null,4322337,null,339150,null,319512,null,257430,null,16397,null,899870,null,996806,null,948897,null,60610,null,84795,null,62979,null,7025,null,687131,null,7977,null,4322,null,864,null,11926,null,1492,null,570,null,10400,null,4226,null,3696,null,884,null,43514,null,7360,null,3178,null,518,null,5839,null,2296,null,428,null,13994,null,3924,null,3882,null,457,null,254,null,87,null,479,null,218,null,190,null,49,null,117,null,111,null,36,null,97,null,3885,null,732,null,115,null,1450,null,225,null,246,null,35,null,299,null,410,null,50,null,217,null,35,null,27,null,13,null,13,null,18,null,440,null,174,null,215,null,12,null,7,null,28,null,4,null,70,null,70,null
0400000US05,Arkansas,3011524,null,2797949,null,2114512,null,453783,null,27177,null,51839,null,14533,null,136105,null,213575,null,203299,null,28910,null,76042,null,11859,null,1281,null,75317,null,3149,null,865,null,214,null,2817,null,199,null,101,null,1347,null,502,null,522,null,174,null,9447,null,3600,null,466,null,101,null,1050,null,831,null,104,null,2079,null,441,null,358,null,73,null,63,null,9,null,134,null,81,null,22,null,2,null,8,null,11,null,0,null,14,null,699,null,183,null,33,null,299,null,14,null,19,null,0,null,51,null,47,null,14,null,13,null,7,null,7,null,4,null,8,null,0,null,118,null,60,null,38,null,2,null,15,null,2,null,1,null,12,null,12,null
0400000US06,California,39538223,null,33777988,null,16296122,null,2237044,null,631016,null,6085947,null,157263,null,8370596,null,5760235,null,5380042,null,257897,null,384596,null,624936,null,45390,null,3626370,null,37342,null,51784,null,8765,null,88929,null,13189,null,2563,null,113787,null,51357,null,61163,null,11974,null,341027,null,41343,null,24099,null,3338,null,32938,null,22082,null,3308,null,119441,null,31003,null,42261,null,4250,null,2582,null,555,null,3381,null,2638,null,2603,null,606,null,960,null,1465,null,316,null,1858,null,34609,null,6504,null,981,null,11879,null,1951,null,2736,null,336,null,2531,null,4290,null,421,null,2082,null,260,null,282,null,77,null,170,null,109,null,4107,null,1345,null,2002,null,236,null,208,null,284,null,32,null,450,null,450,null
0400000US08,Colorado,5773714,null,5066044,null,4082927,null,234828,null,74129,null,199827,null,10287,null,464046,null,707670,null,665645,null,48200,null,91231,null,63039,null,4943,null,426665,null,5076,null,3636,null,611,null,7619,null,851,null,218,null,8397,null,2431,null,2183,null,545,null,38117,null,6940,null,2747,null,337,null,4070,null,2331,null,325,null,14157,null,3105,null,2553,null,331,null,265,null,63,null,348,null,170,null,129,null,25,null,68,null,72,null,14,null,67,null,3437,null,688,null,136,null,1346,null,188,null,241,null,34,null,282,null,300,null,39,null,131,null,20,null,7,null,13,null,2,null,10,null,423,null,195,null,152,null,30,null,10,null,31,null,5,null,48,null,48,null
0400000US09,Connecticut,3605944,null,3273040,null,2395128,null,388675,null,16051,null,172455,null,1598,null,299133,null,332904,null,313228,null,36315,null,25191,null,24100,null,853,null,191978,null,4947,null,2021,null,469,null,20121,null,356,null,87,null,3197,null,639,null,1839,null,1115,null,16883,null,4629,null,1111,null,75,null,5315,null,449,null,36,null,2516,null,462,null,975,null,119,null,152,null,20,null,641,null,35,null,177,null,49,null,8,null,36,null,21,null,57,null,2583,null,310,null,62,null,1879,null,45,null,130,null,18,null,39,null,54,null,5,null,19,null,10,null,5,null,0,null,6,null,1,null,185,null,76,null,87,null,8,null,2,null,11,null,1,null,25,null,25,null
0400000US10,Delaware,989948,null,913430,null,597763,null,218899,null,5148,null,42699,null,412,null,48509,null,76518,null,71461,null,14610,null,9586,null,5480,null,310,null,32669,null,2662,null,911,null,147,null,3811,null,107,null,12,null,613,null,132,null,310,null,101,null,4488,null,1842,null,434,null,25,null,841,null,177,null,31,null,546,null,160,null,157,null,27,null,74,null,29,null,88,null,26,null,10,null,2,null,4,null,4,null,0,null,11,null,522,null,123,null,8,null,272,null,18,null,24,null,16,null,10,null,9,null,0,null,13,null,4,null,4,null,0,null,17,null,4,null,42,null,11,null,19,null,0,null,12,null,0,null,0,null,5,null,5,null
0400000US12,Florida,21538187,null,17986115,null,12422961,null,3246381,null,94795,null,643682,null,14014,null,1564282,null,3552072,null,3428042,null,200545,null,192576,null,122838,null,7435,null,2694902,null,19086,null,20991,null,4320,null,127918,null,1859,null,393,null,14987,null,4389,null,11730,null,4073,null,106458,null,19129,null,9588,null,862,null,32695,null,4204,null,537,null,18348,null,3696,null,9942,null,854,null,541,null,132,null,2680,null,826,null,1589,null,322,null,93,null,177,null,35,null,208,null,16177,null,1800,null,244,null,10372,null,344,null,1751,null,137,null,296,null,547,null,63,null,271,null,81,null,118,null,14,null,116,null,23,null,1263,null,353,null,719,null,90,null,40,null,25,null,36,null,132,null,132,null
0400000US13,Georgia,10711908,null,9968000,null,5555483,null,3320513,null,50618,null,479028,null,7299,null,555059,null,743908,null,698142,null,115782,null,106685,null,55138,null,3094,null,333782,null,19655,null,11481,null,1812,null,36334,null,1007,null,147,null,7360,null,1680,null,3398,null,787,null,40179,null,13019,null,4196,null,462,null,7178,null,1892,null,242,null,6817,null,1473,null,1931,null,185,null,490,null,101,null,1017,null,397,null,504,null,110,null,40,null,42,null,6,null,77,null,4971,null,1173,null,159,null,2453,null,154,null,352,null,40,null,176,null,191,null,30,null,71,null,61,null,40,null,13,null,56,null,2,null,551,null,193,null,270,null,22,null,11,null,22,null,33,null,65,null,65,null
