STATENAME,S2405_C05_003E
Alabama,4264
Alabama,8061
Alabama,4367
Alabama,7931
Alabama,4070
Alabama,4414
Alabama,5130
Alaska,17519
Arizona,10858
Arizona,3845
Arizona,1282
Arizona,928
Arizona,866
Arizona,1930
Arizona,10691
Arizona,3273
Arkansas,14642
Arkansas,6289
Arkansas,12140
Arkansas,13142
California,13903
California,18443
California,3888
California,4572
California,1413
California,4773
California,2962
California,1130
California,437
California,2039
California,7610
California,1267
California,1308
California,3433
California,2158
California,1682
California,34751
California,25514
California,20567
California,62199
California,41286
California,20765
California,30032
California,7821
California,2747
California,941
California,1584
California,2345
California,1781
California,401
California,1805
California,1808
California,1304
California,2610
California,1651
California,1783
California,1947
California,1350
California,1684
California,1350
California,2670
California,719
California,2793
California,2188
California,10340
California,1179
California,2021
California,1158
California,6756
California,3928
California,4795
California,1415
California,1323
Colorado,3095
Colorado,4988
Colorado,16843
Colorado,16380
Colorado,2984
Colorado,5066
Colorado,4552
Connecticut,611
Connecticut,2767
Connecticut,1114
Connecticut,339
Connecticut,2612
Delaware,4717
Florida,2619
Florida,5420
Florida,2738
Florida,1817
Florida,4534
Florida,4570
Florida,3866
Florida,2992
Florida,4922
Florida,1417
Florida,841
Florida,7088
Florida,13687
Florida,2843
Florida,2949
Florida,9154
Florida,1158
Florida,2066
Florida,1780
Florida,2175
Florida,1218
Florida,2350
Florida,6627
Florida,2383
Florida,7160
Georgia,6953
Georgia,9081
Georgia,1791
Georgia,540
Georgia,867
Georgia,630
Georgia,893
Georgia,6982
Georgia,2846
Georgia,5639
Georgia,2402
Georgia,6606
Georgia,1110
Hawaii,1449
Hawaii,8927
Idaho,14466
Idaho,22252
Illinois,223
Illinois,393
Illinois,187
Illinois,422
Illinois,428
Illinois,1369
Illinois,413
Illinois,1580
Illinois,380
Illinois,561
Illinois,5155
Illinois,4972
Illinois,864
Illinois,3591
Illinois,9710
Illinois,5059
Illinois,7658
Illinois,7646
Illinois,12062
Indiana,1781
Indiana,4634
Indiana,5154
Indiana,5434
Indiana,6068
Indiana,6332
Indiana,879
Indiana,8596
Indiana,6356
Iowa,8868
Iowa,6654
Iowa,10403
Iowa,17254
Iowa,20990
Kansas,34494
Kansas,9214
Kansas,2286
Kansas,5617
Kentucky,15593
Kentucky,8490
Kentucky,21
Kentucky,4497
Kentucky,17680
Kentucky,11540
Louisiana,7233
Louisiana,4568
Louisiana,20918
Louisiana,13169
Louisiana,12563
Louisiana,4491
Louisiana,20546
Maine,4973
Maine,10342
Maryland,4830
Maryland,686
Maryland,715
Maryland,1213
Maryland,1080
Maryland,3291
Maryland,861
Maryland,629
Massachusetts,2347
Massachusetts,2053
Massachusetts,746
Massachusetts,1116
Massachusetts,1293
Massachusetts,2191
Massachusetts,521
Massachusetts,728
Massachusetts,370
Massachusetts,1629
Michigan,8796
Michigan,11000
Michigan,3313
Michigan,7544
Michigan,1766
Michigan,6914
Michigan,4866
Michigan,4502
Michigan,315
Michigan,4200
Michigan,876
Michigan,213
Michigan,1158
Michigan,752
Michigan,1055
Minnesota,17919
Minnesota,6284
Minnesota,1603
Minnesota,1670
Minnesota,1530
Minnesota,5446
Minnesota,22626
Minnesota,8608
Mississippi,5072
Mississippi,10158
Mississippi,7697
Mississippi,9941
Missouri,764
Missouri,2612
Missouri,1730
Missouri,10444
Missouri,1019
Missouri,8835
Missouri,5149
Missouri,9336
Missouri,7800
Montana,33141
Nebraska,12349
Nebraska,2007
Nebraska,26860
Nevada,1219
Nevada,17029
Nevada,1528
New Hampshire,2529
New Hampshire,3439
New Jersey,442
New Jersey,4122
New Jersey,994
New Jersey,2193
New Jersey,1765
New Jersey,477
New Jersey,930
New Jersey,236
New Jersey,196
New Jersey,259
New Jersey,896
New Jersey,975
New Jersey,334
