GEO_ID,STATENAME,NAME,S1901_C03_001E,S1901_C03_001M,S1901_C03_001MA,S1901_C03_001EA,S1901_C04_001E,S1901_C04_001M,S1901_C04_001MA,S1901_C04_001EA,S1901_C02_001M,S1901_C02_001MA,S1901_C02_001E,S1901_C02_001EA,S1901_C01_001M,S1901_C01_001MA,S1901_C01_001E,S1901_C01_001EA,S1901_C02_002E,S1901_C02_002M,S1901_C02_002MA,S1901_C02_002EA,S1901_C01_002M,S1901_C01_002MA,S1901_C01_002E,S1901_C01_002EA,S1901_C04_002M,S1901_C04_002MA,S1901_C04_002E,S1901_C04_002EA,S1901_C03_002M,S1901_C03_002MA,S1901_C03_002E,S1901_C03_002EA,S1901_C01_003E,S1901_C01_003EA,S1901_C01_003M,S1901_C01_003MA,S1901_C02_003E,S1901_C02_003EA,S1901_C02_003M,S1901_C02_003MA,S1901_C04_003E,S1901_C04_003M,S1901_C04_003MA,S1901_C04_003EA,S1901_C03_003M,S1901_C03_003MA,S1901_C03_003E,S1901_C03_003EA,S1901_C04_004E,S1901_C04_004M,S1901_C04_004MA,S1901_C04_004EA,S1901_C03_004M,S1901_C03_004MA,S1901_C03_004E,S1901_C03_004EA,S1901_C02_004M,S1901_C02_004MA,S1901_C02_004E,S1901_C02_004EA,S1901_C01_004M,S1901_C01_004MA,S1901_C01_004E,S1901_C01_004EA,S1901_C04_005E,S1901_C04_005EA,S1901_C04_005M,S1901_C04_005MA,S1901_C03_005M,S1901_C03_005MA,S1901_C03_005E,S1901_C03_005EA,S1901_C02_005M,S1901_C02_005MA,S1901_C02_005E,S1901_C02_005EA,S1901_C01_005M,S1901_C01_005MA,S1901_C01_005E,S1901_C01_005EA,S1901_C04_006E,S1901_C04_006EA,S1901_C04_006M,S1901_C04_006MA,S1901_C03_006M,S1901_C03_006MA,S1901_C03_006E,S1901_C03_006EA,S1901_C02_006M,S1901_C02_006MA,S1901_C02_006E,S1901_C02_006EA,S1901_C01_006M,S1901_C01_006MA,S1901_C01_006E,S1901_C01_006EA,S1901_C01_007E,S1901_C01_007M,S1901_C01_007MA,S1901_C01_007EA,S1901_C04_007M,S1901_C04_007MA,S1901_C04_007E,S1901_C04_007EA,S1901_C03_007M,S1901_C03_007MA,S1901_C03_007E,S1901_C03_007EA,S1901_C02_007M,S1901_C02_007MA,S1901_C02_007E,S1901_C02_007EA,S1901_C01_008E,S1901_C01_008M,S1901_C01_008MA,S1901_C01_008EA,S1901_C04_008E,S1901_C04_008EA,S1901_C04_008M,S1901_C04_008MA,S1901_C03_008M,S1901_C03_008MA,S1901_C03_008E,S1901_C03_008EA,S1901_C02_008M,S1901_C02_008MA,S1901_C02_008E,S1901_C02_008EA,S1901_C01_009E,S1901_C01_009EA,S1901_C01_009M,S1901_C01_009MA,S1901_C02_009E,S1901_C02_009EA,S1901_C02_009M,S1901_C02_009MA,S1901_C03_009E,S1901_C03_009EA,S1901_C03_009M,S1901_C03_009MA,S1901_C04_009E,S1901_C04_009EA,S1901_C04_009M,S1901_C04_009MA,S1901_C01_010M,S1901_C01_010MA,S1901_C02_010E,S1901_C02_010M,S1901_C02_010MA,S1901_C02_010EA,S1901_C01_010E,S1901_C01_010EA,S1901_C03_010E,S1901_C03_010M,S1901_C03_010MA,S1901_C03_010EA,S1901_C04_010E,S1901_C04_010M,S1901_C04_010MA,S1901_C04_010EA,S1901_C02_011E,S1901_C02_011EA,S1901_C02_011M,S1901_C02_011MA,S1901_C01_011M,S1901_C01_011MA,S1901_C01_011E,S1901_C01_011EA,S1901_C04_011M,S1901_C04_011MA,S1901_C04_011E,S1901_C04_011EA,S1901_C03_011M,S1901_C03_011MA,S1901_C03_011E,S1901_C03_011EA,S1901_C01_012E,S1901_C01_012EA,S1901_C01_012M,S1901_C01_012MA,S1901_C02_012E,S1901_C02_012M,S1901_C02_012MA,S1901_C02_012EA,S1901_C04_012E,S1901_C04_012EA,S1901_C04_012M,S1901_C04_012MA,S1901_C03_012M,S1901_C03_012MA,S1901_C03_012E,S1901_C03_012EA,S1901_C02_013M,S1901_C02_013MA,S1901_C02_013E,S1901_C02_013EA,S1901_C01_013M,S1901_C01_013MA,S1901_C01_013E,S1901_C01_013EA,S1901_C03_013E,S1901_C03_013M,S1901_C03_013MA,S1901_C03_013EA,S1901_C04_013M,S1901_C04_013MA,S1901_C04_013E,S1901_C04_013EA,S1901_C01_014E,S1901_C01_014M,S1901_C01_014MA,S1901_C01_014EA,S1901_C02_014E,S1901_C02_014M,S1901_C02_014MA,S1901_C02_014EA,S1901_C04_014M,S1901_C04_014MA,S1901_C03_014E,S1901_C03_014EA,S1901_C03_014M,S1901_C03_014MA,S1901_C04_014E,S1901_C04_014EA,S1901_C02_015E,S1901_C02_015M,S1901_C02_015MA,S1901_C02_015EA,S1901_C01_015M,S1901_C01_015MA,S1901_C01_015E,S1901_C01_015EA,S1901_C04_015M,S1901_C04_015MA,S1901_C04_015E,S1901_C04_015EA,S1901_C03_015M,S1901_C03_015MA,S1901_C03_015E,S1901_C03_015EA,S1901_C01_016E,S1901_C01_016EA,S1901_C01_016M,S1901_C01_016MA,S1901_C02_016E,S1901_C02_016EA,S1901_C02_016M,S1901_C02_016MA,S1901_C03_016E,S1901_C03_016M,S1901_C03_016MA,S1901_C03_016EA,S1901_C04_016E,S1901_C04_016M,S1901_C04_016MA,S1901_C04_016EA
5001100US0101,Alabama,"Congressional District 1 (111th Congress), Alabama",120197,4675,null,null,84642,4267,null,null,5207,null,169798,null,4663,null,254440,null,8.3,1.2,null,null,1.1,null,11.9,null,2.5,null,20.2,null,0.8,null,3.2,null,6.6,null,0.7,null,4.4,null,0.8,null,11.3,1.8,null,null,0.6,null,2.6,null,20,2.4,null,null,1.3,null,7.3,null,1.3,null,10.1,null,1.2,null,13.2,null,12.8,null,1.8,null,1.4,null,9.7,null,1.3,null,12,null,1,null,12,null,13.5,null,1.8,null,2,null,15.3,null,1.7,null,14.9,null,1.3,null,14.7,null,18.7,1.5,null,null,1.8,null,13.9,null,2.2,null,23.2,null,1.8,null,20.7,null,9.1,0.9,null,null,2.9,null,0.9,null,1.5,null,15.3,null,1.1,null,11.9,null,8,null,0.8,null,10.2,null,1.1,null,13.6,null,1.5,null,3.4,null,1.1,null,0.4,null,4.2,0.7,null,null,3.2,null,5.5,0.8,null,null,1.1,0.6,null,null,3.4,null,0.7,null,0.5,null,2.6,null,0.6,null,1,null,1,null,4.4,null,41172,null,1406,null,50334.00,1742,null,null,24029,null,1709,null,2122,null,62050,null,2263,null,65082,null,1975,null,56106,null,77115,2773,null,null,3255,null,36447,null,25.9,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.5,(X),(X),null
5001100US0102,Alabama,"Congressional District 2 (111th Congress), Alabama",119067,3901,null,null,81474,3697,null,null,4921,null,174077,null,3938,null,255551,null,6.7,0.8,null,null,0.9,null,9.9,null,2.1,null,17.9,null,0.6,null,1.9,null,8.5,null,0.8,null,5.7,null,0.9,null,15.3,2,null,null,0.6,null,2.4,null,20.9,1.9,null,null,1,null,7,null,1,null,10.6,null,0.9,null,13.6,null,13.9,null,1.9,null,1.1,null,8.4,null,1.1,null,10.3,null,0.9,null,11.6,null,15.1,null,1.8,null,1.7,null,15.2,null,1.4,null,15.7,null,1.1,null,15.5,null,18,1.1,null,null,1.5,null,10.4,null,1.8,null,25.3,null,1.5,null,21.3,null,10,0.8,null,null,3.2,null,0.9,null,1.5,null,16.4,null,1.1,null,12.7,null,9.5,null,0.8,null,12.4,null,1.1,null,17.1,null,1.5,null,2.8,null,1,null,0.4,null,2.5,0.5,null,null,1.9,null,3.6,0.7,null,null,0.3,0.2,null,null,2,null,0.5,null,0.3,null,1.5,null,0.2,null,0.2,null,0.7,null,2.8,null,40567,null,790,null,50934.00,1660,null,null,22551,null,1328,null,2199,null,64510,null,2145,null,62579,null,1562,null,52964,null,75559,2506,null,null,1421,null,30649,null,30.5,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26,(X),(X),null
5001100US0103,Alabama,"Congressional District 3 (111th Congress), Alabama",120881,4625,null,null,88128,4496,null,null,4492,null,175525,null,4294,null,263653,null,8.2,1.2,null,null,1.2,null,13.1,null,2.5,null,24.6,null,0.9,null,3.1,null,9.6,null,1.1,null,5.4,null,0.9,null,17.8,2.4,null,null,0.9,null,2.6,null,18.8,1.8,null,null,1.1,null,7.3,null,1.3,null,11.6,null,1,null,13.7,null,14.7,null,2,null,1.2,null,10.8,null,1.3,null,12,null,1.1,null,13.2,null,10.5,null,2,null,1.8,null,17.8,null,1.3,null,16.8,null,1.1,null,14.8,null,14.6,1.2,null,null,1.4,null,8.1,null,1.9,null,20.5,null,1.5,null,17.5,null,9.2,0.8,null,null,2.9,null,0.8,null,1.4,null,15.4,null,1.1,null,12.2,null,7.9,null,0.7,null,10.7,null,1.1,null,14.7,null,1.5,null,1.9,null,0.7,null,0.5,null,3.5,0.7,null,null,2.5,null,5,1,null,null,0.6,0.3,null,null,2.1,null,0.6,null,0.4,null,1.4,null,0.1,null,0.1,null,0.8,null,2.8,null,35452,null,1685,null,45648.00,1890,null,null,19009,null,1531,null,2349,null,60012,null,1850,null,59989,null,1367,null,49344,null,72656,2465,null,null,1358,null,26722,null,29.7,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X),(X),null
5001100US0104,Alabama,"Congressional District 4 (111th Congress), Alabama",135604,4529,null,null,69841,4426,null,null,5665,null,179221,null,4603,null,249062,null,6.8,0.9,null,null,1,null,10.3,null,2.5,null,21.1,null,0.5,null,2,null,7.6,null,0.7,null,4,null,0.7,null,17.5,2.2,null,null,0.7,null,2.8,null,24.4,2.6,null,null,1.4,null,12.1,null,1.4,null,14.7,null,1.3,null,17,null,12.5,null,2,null,1.7,null,12.6,null,1.4,null,12.9,null,1.2,null,12.8,null,12.8,null,2,null,1.5,null,18.2,null,1.1,null,18.9,null,1.1,null,17.8,null,16.5,1.2,null,null,1.5,null,7.8,null,1.9,null,22.9,null,1.6,null,19.5,null,8.3,1,null,null,1.8,null,0.8,null,1.6,null,13.2,null,1.3,null,10.5,null,6.8,null,0.8,null,8.8,null,1,null,11.1,null,1.3,null,1.7,null,0.8,null,0.4,null,2.4,0.6,null,null,1.8,null,3.1,0.7,null,null,0.3,0.3,null,null,1.6,null,0.4,null,0.3,null,1.2,null,0.2,null,0.2,null,0.5,null,2,null,36715,null,1188,null,43349.00,1924,null,null,18858,null,1071,null,1762,null,51945,null,1997,null,57027,null,1634,null,48957,null,65116,2264,null,null,1435,null,26441,null,28.3,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X),(X),null
5001100US0105,Alabama,"Congressional District 5 (111th Congress), Alabama",142992,5022,null,null,91129,4055,null,null,5013,null,189051,null,4600,null,280180,null,5.8,0.9,null,null,0.9,null,9.5,null,2.2,null,18.5,null,0.6,null,2,null,5.9,null,0.8,null,3.6,null,0.8,null,11.4,1.9,null,null,0.7,null,2.1,null,17.2,2,null,null,1.1,null,6.5,null,1.2,null,10.1,null,1.1,null,12.4,null,13.7,null,1.7,null,1,null,8.6,null,1.1,null,10.3,null,0.9,null,11.4,null,15.9,null,1.7,null,1.2,null,13,null,1,null,13.4,null,0.8,null,14.3,null,17.8,1.2,null,null,1.6,null,12,null,1.9,null,22.2,null,1.7,null,20.1,null,10.6,1,null,null,5.9,null,1.1,null,1.6,null,15.1,null,1.4,null,12.8,null,11.4,null,0.8,null,14.7,null,1.2,null,18.6,null,1.5,null,3.9,null,1.1,null,0.5,null,4.9,0.7,null,null,3.6,null,6.4,0.9,null,null,0.5,0.3,null,null,4.2,null,0.6,null,0.5,null,3.1,null,0.5,null,0.8,null,0.8,null,5.4,null,45856,null,1341,null,56653.00,2146,null,null,26530,null,1577,null,3587,null,69820,null,2226,null,73576,null,1749,null,62648,null,85892,2822,null,null,2880,null,38051,null,31.1,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.6,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X),(X),null
5001100US0106,Alabama,"Congressional District 6 (111th Congress), Alabama",153657,4796,null,null,86222,4285,null,null,4304,null,197497,null,4088,null,283719,null,4.4,0.7,null,null,0.8,null,6,null,1.8,null,10.8,null,0.5,null,1.4,null,5.1,null,0.7,null,2.3,null,0.5,null,11.5,1.7,null,null,0.4,null,1,null,16.2,2.1,null,null,1,null,5.8,null,1,null,7.9,null,0.8,null,10.1,null,12.8,null,1.9,null,1,null,6.9,null,0.9,null,8.3,null,0.9,null,9.8,null,16.7,null,2.3,null,1.4,null,12.3,null,1.2,null,13.2,null,1.1,null,14.5,null,18.3,1,null,null,1.7,null,16.1,null,1.3,null,19.7,null,1.2,null,19.4,null,13.4,1,null,null,7.9,null,1.4,null,1.3,null,17.9,null,1.2,null,15.6,null,12.7,null,1,null,15.9,null,1.3,null,19.2,null,1.5,null,5.3,null,1.2,null,0.7,null,7.7,0.9,null,null,6.1,null,9.1,1.1,null,null,2.2,0.8,null,null,5.3,null,0.6,null,0.5,null,3.9,null,0.3,null,0.5,null,0.8,null,6.8,null,55559,null,1795,null,67255.00,2142,null,null,33691,null,2627,null,3043,null,78326,null,2696,null,86157,null,2086,null,73893,null,98155,3311,null,null,2193,null,44566,null,25.5,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.2,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.1,(X),(X),null
5001100US0107,Alabama,"Congressional District 7 (111th Congress), Alabama",76548,3426,null,null,85832,4481,null,null,4656,null,142715,null,4466,null,228547,null,11,1.4,null,null,1.3,null,16,null,2.5,null,25.5,null,0.8,null,2.4,null,9.2,null,0.9,null,6.1,null,1.1,null,14.6,2,null,null,1.1,null,3.2,null,19.4,2.5,null,null,1.5,null,8.8,null,1.5,null,15,null,1.3,null,16.6,null,12.3,null,1.8,null,1.9,null,10.8,null,1.6,null,13.4,null,1.1,null,13,null,13.6,null,1.9,null,2.3,null,18.3,null,1.6,null,16.4,null,1.1,null,15.6,null,14.5,1.1,null,null,1.6,null,9.2,null,2.1,null,22.2,null,1.6,null,17.3,null,7.1,0.9,null,null,2.6,null,0.9,null,2.2,null,15.6,null,1.3,null,9.7,null,6,null,0.9,null,8.5,null,1.2,null,14.2,null,2,null,1.9,null,0.8,null,0.4,null,1.7,0.5,null,null,1.2,null,3.1,1,null,null,0.3,0.3,null,null,0.9,null,0.3,null,0.2,null,0.8,null,0.3,null,0.6,null,0.6,null,1.5,null,31047,null,934,null,38308.00,1799,null,null,20076,null,1188,null,2860,null,55573,null,1876,null,49668,null,1421,null,42503,null,66871,2705,null,null,2257,null,29584,null,29.9,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.3,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.8,(X),(X),null
5001100US0200,Alaska,"Congressional District (at Large) (111th Congress), Alaska",127969,4713,null,null,83751,4087,null,null,4484,null,170859,null,2804,null,254610,null,3,0.7,null,null,0.6,null,4.2,null,1.4,null,8.3,null,0.4,null,0.8,null,4.6,null,0.6,null,2.4,null,0.5,null,9.5,1.6,null,null,0.3,null,0.8,null,13.3,1.9,null,null,0.7,null,3.2,null,0.9,null,6.3,null,0.9,null,8.1,null,12.1,null,1.7,null,1,null,5.5,null,1,null,7.4,null,0.7,null,8.9,null,15.3,null,1.9,null,1,null,9.1,null,1,null,10.6,null,0.9,null,12.2,null,19.1,1.2,null,null,2.2,null,19.3,null,1.6,null,19,null,1.5,null,18.9,null,13.3,1.2,null,null,9.4,null,1.6,null,1.7,null,17.2,null,1.5,null,15,null,18,null,1.2,null,21.4,null,1.5,null,25.5,null,1.8,null,9,null,1.7,null,0.9,null,8.2,1.2,null,null,6.4,null,10.6,1.6,null,null,2.4,0.7,null,null,6.7,null,0.8,null,0.6,null,5.1,null,0.5,null,1.4,null,1.1,null,8.3,null,64576,null,2085,null,76962.00,2545,null,null,40843,null,1825,null,2490,null,91194,null,2957,null,93329,null,2177,null,81290,null,107127,3718,null,null,2546,null,52590,null,23.2,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.7,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.8,(X),(X),null
5001100US0401,Arizona,"Congressional District 1 (111th Congress), Arizona",129691,4509,null,null,89541,4938,null,null,5447,null,177386,null,6112,null,266927,null,7.6,1.2,null,null,1.1,null,10.6,null,2.4,null,18.7,null,1,null,3,null,7.6,null,1.1,null,4.9,null,0.9,null,12.6,2.2,null,null,0.8,null,3.1,null,15.9,1.8,null,null,1.1,null,8.8,null,1.1,null,11.2,null,0.9,null,12.8,null,13.1,null,2.2,null,1.5,null,11.4,null,1.2,null,11.8,null,1.2,null,12,null,17,null,2.3,null,1.8,null,18.2,null,1.5,null,17.4,null,1.3,null,17.4,null,18.5,1.2,null,null,2,null,13,null,1.9,null,22.8,null,1.6,null,20.7,null,10.5,1.1,null,null,5.8,null,1.5,null,2.1,null,15.5,null,1.6,null,12.7,null,7.3,null,0.9,null,9.4,null,1.2,null,11.5,null,1.5,null,2.4,null,0.8,null,0.5,null,2.6,0.6,null,null,2.1,null,3.6,0.8,null,null,1,0.9,null,null,1.6,null,0.5,null,0.3,null,1.3,null,0.3,null,0.4,null,0.7,null,2.2,null,40854,null,1280,null,47116.00,2003,null,null,26642,null,1736,null,2881,null,55883,null,1788,null,57972,null,1472,null,51107,null,66890,2190,null,null,2240,null,35280,null,31.8,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.3,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X),(X),null
5001100US0402,Arizona,"Congressional District 2 (111th Congress), Arizona",200227,5207,null,null,108516,4884,null,null,6114,null,257965,null,6759,null,366481,null,3.7,0.7,null,null,0.7,null,5.1,null,1.5,null,9.9,null,0.5,null,2.2,null,5.5,null,0.6,null,3.5,null,0.7,null,11.6,1.6,null,null,0.7,null,2.4,null,20,2.1,null,null,0.9,null,6,null,0.9,null,7.9,null,0.9,null,11.2,null,15.7,null,2,null,1.1,null,10.1,null,1.1,null,11.7,null,0.9,null,12.9,null,16.6,null,2,null,1.3,null,16.1,null,1.1,null,16.8,null,0.9,null,16.9,null,21,1.2,null,null,1.8,null,15.3,null,1.8,null,23.9,null,1.4,null,23.1,null,12.4,0.9,null,null,5.9,null,1.2,null,1.5,null,16.2,null,1.3,null,14.5,null,10.6,null,0.8,null,13.2,null,1.1,null,16.1,null,1.4,null,3.8,null,1.1,null,0.4,null,3.4,0.6,null,null,2.7,null,4.2,0.7,null,null,0.8,0.4,null,null,2.1,null,0.5,null,0.3,null,1.6,null,0.3,null,0.4,null,0.6,null,2.7,null,47963,null,1590,null,55514.00,1449,null,null,30334,null,1367,null,1845,null,62836,null,1653,null,66949,null,1291,null,59479,null,74401,1894,null,null,1808,null,38609,null,30.1,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X),(X),null,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.1,(X),(X),null
